Date,Topic,Slides,"Example Code",Reading,Assignment
Aug 29,"Course overview, binary data representation review",lectures/lecture01-public.pdf,,*CSAPP* 1.1–1.9,
Aug 31,"Data representation, addresses",lectures/lecture02-public.pdf,,*CSAPP* 2.1,
Sep 2,"Integer representation",lectures/lecture03-public.pdf,,*CSAPP* 2.2,
Sep 5,**Labor day (no class)**,,,,"[A1](assign/assign01.html) MS1 due<br>Tues 9/6"
Sep 7,"Integer arithmetic",lectures/lecture04-public.pdf,,*CSAPP* 2.3,
Sep 9,"Floating point",lectures/lecture05-public.pdf,,*CSAPP* 2.4,
Sep 12,"Machine-level program representation",lectures/lecture06-public.pdf,,*CSAPP* 3.1–3.4,"[A1](assign/assign01.html) MS2 due<br>Tues 9/13"
Sep 14,"ALU operations, arithmetic",lectures/lecture07-public.pdf,alu.zip,*CSAPP* 3.5,
Sep 16,"Control flow",lectures/lecture08-public.pdf,control.zip,*CSAPP* 3.6,
Sep 19,"Procedures, stacks",lectures/lecture09-public.pdf,control2.zip,*CSAPP* 3.7,"[A2](assign/assign02.html) MS1 due<br>Tues 9/20"
Sep 21,"Arrays and structs",lectures/lecture10-public.pdf,arraystruct.zip,*CSAPP* 3.8–3.9,
Sep 23,"Assembly language in class exercise",lectures/assembly-exercise-public.pdf,,
Sep 26,"Code and data interactions, buffer overflows",lectures/lecture11-public.pdf,buf.zip,*CSAPP* 3.10,
Sep 28,"Program optimization (basic techniques): see Piazza for slides",,,*CSAPP* 5.1–5.8,"[A2](assign/assign02.html) MS2 due<br>Thurs 9/29"
Sep 30,"Exam 1 review session",
Oct 3,"**Exam 1** (in class)",
Oct 5,"Pipelines",lectures/lecture13-public.pdf,,"<i>P&amp;H</i> 4.5–4.7","[A2](assign/assign02.html) MS3 due<br>Thurs 10/6"
Oct 7,"Program optimization (ILP, memory, profiling): see Piazza for slides",,,*CSAPP* 5.9–5.14,
Oct 10,"Memory hierarchy",lectures/lecture15-public.pdf,,*CSAPP* 6.1–6.3,
Oct 12,"Cache policies",lectures/lecture16-public.pdf,,*CSAPP* 6.4,"[A3](assign/assign03.html) MS1 due"
Oct 14,"Caches and program execution: see Piazza for slides",,,*CSAPP* 6.5,
Oct 17,"Linking basics, symbols, relocations, executables, loading",lectures/lecture18-public.pdf,,*CSAPP* 7.1–7.9,
Oct 19,"Dynamic linking, shared libraries, PIC, interpositioning",lectures/lecture19-public.pdf,dynload.zip,*CSAPP* 7.10–7.15,
Oct 20–21,**Fall break (no classes)**,
Oct 24,"Exceptions, Processes",lectures/lecture20-public.pdf,,"*CSAPP* 8.1–8.4, 8.7","[A3](assign/assign03.html) MS2 due"
Oct 26,"Signals",lectures/lecture21-public.pdf,signals.zip,*CSAPP* 8.5–8.6,
Oct 28,"Virtual memory",lectures/lecture22-public.pdf,,*CSAPP* 9.1–9.3,
Oct 31,"Memory management, address translation",lectures/lecture23-public.pdf,,*CSAPP* 9.4–9.7,"[A3](assign/assign03.html) MS3 due"
Nov 2,"Memory mapping, dynamic memory allocation",lectures/lecture24-public.pdf,,"*CSAPP* 9.8, 9.9, 9.11",
Nov 4,"Exam 2 review session",
Nov 7,"**Exam 2** (in class)",
Nov 9,"Unix I/O, files",lectures/lecture25-public.pdf,,*CSAPP* 10.1–10.11,"[A4](assign/assign04.html) due"
Nov 11,"Networks, Internet Protocol",lectures/lecture26-public.pdf,,*CSAPP* 11.1–11.3,
Nov 14,"Sockets, Application Protocols",lectures/lecture27-public.pdf,sockets.zip,*CSAPP* 11.4,
Nov 16,"Network applications, HTTP",lectures/lecture28-public.pdf,webserver.zip,*CSAPP* 11.4–11.6,
Nov 18,"Concurrency with pthreads",lectures/lecture29-public.pdf,mt_webserver.zip,*CSAPP* 12.3,
Nov 21–25,**Fall recess (no classes)**,
Nov 28,"Thread synchronization",lectures/lecture30-public.pdf,synch.zip,*CSAPP* 12.4–12.5,
Nov 30,"Parallelism, concurrency issues",lectures/lecture31-public.pdf,synch2.zip,*CSAPP* 12.6–12.7,"[A5](assign/assign05.html) MS1 due"
Dec 2,"Concurrency with processes",lectures/lecture32-public.pdf,mp_webserver.zip,*CSAPP* 12.1,
Dec 5,"Concurrency with I/O multiplexing",lectures/lecture33-public.pdf,iomux.zip,*CSAPP* 12.2,
Dec 7,*Topics TBD*,
Dec 9,"Exam 3 review session",,,,"[A5](assign/assign05.html) MS2 due"
TBD,"**Exam 3** (location TBD)",
